"Patient_ID","Tree_ID","Node_ID","Mutation_ID","Parent_ID"
1,1,1,0,1
1,1,2,7,1
1,1,3,9,1
1,1,4,3,2
2,2,1,0,1
2,2,2,1,1
3,3,1,0,1
3,3,2,3,1
4,4,1,0,1
4,4,2,3,1
4,4,3,5,1
4,4,4,2,3
4,4,5,7,3
4,4,6,3,4
4,4,7,9,4
4,4,8,3,7
5,5,1,0,1
5,5,2,3,1
6,6,1,0,1
6,6,2,3,1
6,6,3,7,1
6,6,4,7,2
7,7,1,0,1
7,7,2,3,1
7,7,3,7,1
7,7,4,9,1
8,8,1,0,1
8,8,2,7,1
9,9,1,0,1
9,9,2,3,1
9,9,3,9,1
9,9,4,1,2
9,9,5,7,2
9,9,6,3,3
9,9,7,7,3
9,9,8,10,3
9,9,9,7,6
9,9,10,3,7
10,10,1,0,1
10,10,2,9,1
11,11,1,0,1
11,11,2,7,1
12,12,1,0,1
12,12,2,5,1
12,12,3,7,1
12,12,4,7,2
13,13,1,0,1
13,13,2,3,1
13,13,3,9,1
13,13,4,7,2
13,13,5,1,3
13,13,6,3,3
13,13,7,7,3
13,13,8,7,5
14,14,1,0,1
14,14,2,7,1
14,14,3,10,1
14,14,4,3,2
14,14,5,10,2
15,15,1,0,1
15,15,2,7,1
16,16,1,0,1
16,16,2,7,1
17,17,1,0,1
17,17,2,1,1
17,17,3,3,1
17,17,4,7,2
17,17,5,10,2
17,17,6,7,3
18,18,1,0,1
18,18,2,7,1
19,19,1,0,1
19,19,2,9,1
19,19,3,3,2
19,19,4,10,2
20,20,1,0,1
20,20,2,3,1
20,20,3,7,1
20,20,4,10,3
21,21,1,0,1
21,21,2,7,1
21,21,3,10,1
22,22,1,0,1
22,22,2,7,1
23,23,1,0,1
23,23,2,7,1
23,23,3,9,1
23,23,4,10,1
23,23,5,3,3
23,23,6,9,4
23,23,7,7,5
23,23,8,7,6
23,23,9,6,8
24,24,1,0,1
24,24,2,7,1
25,25,1,0,1
25,25,2,3,1
26,26,1,0,1
26,26,2,7,1
27,27,1,0,1
27,27,2,5,1
27,27,3,2,2
28,28,1,0,1
28,28,2,7,1
29,29,1,0,1
29,29,2,3,1
29,29,3,7,1
30,30,1,0,1
30,30,2,3,1
30,30,3,7,1
30,30,4,3,3
31,31,1,0,1
31,31,2,7,1
32,32,1,0,1
32,32,2,1,1
32,32,3,3,2
32,32,4,7,2
32,32,5,9,2
32,32,6,7,3
33,33,1,0,1
33,33,2,7,1
33,33,3,10,1
33,33,4,9,3
34,34,1,0,1
34,34,2,3,1
34,34,3,7,1
34,34,4,10,1
34,34,5,1,3
34,34,6,3,3
34,34,7,5,4
34,34,8,9,4
35,35,1,0,1
35,35,2,7,1
36,36,1,0,1
36,36,2,7,1
37,37,1,0,1
37,37,2,7,1
38,38,1,0,1
38,38,2,7,1
39,39,1,0,1
39,39,2,7,1
40,40,1,0,1
40,40,2,1,1
40,40,3,3,1
40,40,4,7,1
41,41,1,0,1
41,41,2,7,1
42,42,1,0,1
42,42,2,3,1
43,43,1,0,1
43,43,2,7,1
43,43,3,10,1
44,44,1,0,1
44,44,2,3,1
45,45,1,0,1
45,45,2,7,1
45,45,3,9,1
46,46,1,0,1
46,46,2,3,1
47,47,1,0,1
47,47,2,7,1
47,47,3,3,2
48,48,1,0,1
48,48,2,7,1
49,49,1,0,1
49,49,2,3,1
50,50,1,0,1
50,50,2,7,1
51,51,1,0,1
51,51,2,3,1
51,51,3,10,1
51,51,4,9,2
52,52,1,0,1
52,52,2,5,1
52,52,3,10,1
52,52,4,7,2
53,53,1,0,1
53,53,2,3,1
54,54,1,0,1
54,54,2,9,1
55,55,1,0,1
55,55,2,7,1
55,55,3,3,2
56,56,1,0,1
56,56,2,7,1
57,57,1,0,1
57,57,2,5,1
58,58,1,0,1
58,58,2,7,1
59,59,1,0,1
59,59,2,3,1
59,59,3,7,1
59,59,4,10,2
59,59,5,9,4
60,60,1,0,1
60,60,2,3,1
60,60,3,7,1
60,60,4,7,2
60,60,5,9,2
61,61,1,0,1
61,61,2,7,1
61,61,3,6,2
61,61,4,3,3
62,62,1,0,1
62,62,2,1,1
62,62,3,10,1
62,62,4,7,2
63,63,1,0,1
63,63,2,7,1
63,63,3,10,1
63,63,4,3,2
64,64,1,0,1
64,64,2,3,1
65,65,1,0,1
65,65,2,7,1
66,66,1,0,1
66,66,2,1,1
66,66,3,3,1
66,66,4,7,1
66,66,5,5,2
67,67,1,0,1
67,67,2,3,1
67,67,3,7,2
68,68,1,0,1
68,68,2,7,1
69,69,1,0,1
69,69,2,3,1
70,70,1,0,1
70,70,2,7,1
71,71,1,0,1
71,71,2,7,1
71,71,3,10,1
71,71,4,6,2
71,71,5,1,3
72,72,1,0,1
72,72,2,1,1
73,73,1,0,1
73,73,2,1,1
73,73,3,9,1
73,73,4,7,2
73,73,5,7,3
74,74,1,0,1
74,74,2,9,1
74,74,3,3,2
74,74,4,7,2
75,75,1,0,1
75,75,2,3,1
75,75,3,7,1
76,76,1,0,1
76,76,2,7,1
76,76,3,10,1
76,76,4,3,2
76,76,5,1,3
